,Open,High,Low,Close,Volume,return_1d,return_lag1,return_lag2,return_lag3,return_lag4,return_lag5,return_5d,return_10d,ma5_ratio,ma10_ratio,ma20_ratio,ma50_ratio,ma_cross_5_20,vol_5d,vol_10d,vol_20d,rsi_14,macd,macd_hist,bb_position,hl_range,co_change,vol_change,vol_ma_ratio,dayofweek,target
2015-02-19 00:00:00+00:00,237.37,245.01,235.59,240.59,8704.34,0.013565302,-0.02995503,0.042607546,-0.0039469004,-0.083115995,0.08434594,-0.06381571,0.08913541,0.008348763641446322,0.023809009606761578,0.04592978125791891,-0.004283508538039049,0.037269860361365925,0.047644900373781274,0.04740392752004258,0.04251837234260506,61.82849252801974,-0.001587439257543077,0.011673798023200583,0.506011789668018,0.03915374,0.013565325,-0.32113552,-0.4089459875554442,3,1
2015-02-20 00:00:00+00:00,240.61,249.32,239.41,245.48,9342.689,0.020325065,0.013565302,-0.02995503,0.042607546,-0.0039469004,-0.083115995,0.041802764,0.113692045,0.020418341545781038,0.033595639060264526,0.060599502487685086,0.021733253448706913,0.03937714494727307,0.027214549880073012,0.04731755955854558,0.040538440077781915,61.18361287715339,0.0017298624453651896,0.011781547066735351,0.6676382817712544,0.0403699,0.020240203,0.07333696,-0.34361402618184034,4,0
2015-02-21 00:00:00+00:00,245.48,247.8,244.0,245.41,2982.212,-0.00028514862,0.020325065,0.013565302,-0.02995503,0.042607546,-0.0039469004,0.04563272,0.11778641,0.011124412387931493,0.022171153460727844,0.05608106015522729,0.027429683557210094,0.04446203376805391,0.026841936113755814,0.04719584831162281,0.03948866764679033,59.10203487914319,0.004262869930569216,0.011453937071019573,0.598294255425673,0.015484304,-0.0002851233,-0.6807973,-0.7784756049731514,5,0
2015-02-22 00:00:00+00:00,245.41,247.42,232.48,236.5,7751.75,-0.03630662,-0.00028514862,0.020325065,0.013565302,-0.02995503,0.042607546,-0.033510387,0.060538173,-0.018957141924158427,-0.02044839037523727,0.018169924436872265,-0.006086193799838546,0.037844489723771746,0.025492120844045476,0.04957298476331544,0.0389282694793861,56.4073911556025,0.003426608974820957,0.008710876400228508,0.19464084156968162,0.06317126,-0.036306605,1.599329,-0.4068677210997499,6,1
2015-02-23 00:00:00+00:00,236.5,241.0,232.05,239.65,6327.7266,0.013319254,-0.03630662,-0.00028514862,0.020325065,0.013565302,-0.02995503,0.0096052885,0.0111813545,-0.007767296458513706,-0.008489807702400043,0.029148082953845078,0.009217485541711756,0.03720435668024247,0.02274990316757585,0.045705976157522456,0.03758502713667225,59.503298003255615,0.003620816830240008,0.00706850166928297,0.3110039040349744,0.037346117,0.013319213,-0.18370348,-0.49421019499582797,0,0
2015-02-24 00:00:00+00:00,239.63,240.97,236.07,239.55,5144.114,-0.0004172325,0.013319254,-0.03630662,-0.00028514862,0.020325065,0.013565302,-0.0043227077,-0.06786251,-0.0073264166833239,-0.0017002792478344464,0.02595402141715386,0.011971314289676238,0.03352606401520486,0.021832731069755286,0.03546080510690046,0.03755398415381513,59.73339420081923,0.0037352733668471164,0.0057475178464153065,0.2775181942674011,0.020454993,-0.00033385566,-0.18705183,-0.5719879104398147,1,0
2015-02-25 00:00:00+00:00,239.55,240.98,236.0,237.97,3810.5352,-0.006595731,-0.0004172325,0.013319254,-0.03630662,-0.00028514862,0.020325065,-0.030593097,0.009930849,-0.007697564560700254,-0.009250920455811107,0.014589774494999874,0.008605600426938365,0.02246022811163728,0.018411207056472683,0.0232129939802526,0.035904245142457734,59.30491242842526,0.003276654476735081,0.004241807402874069,0.1674219921499087,0.02092699,-0.006595708,-0.2592436,-0.6703690842758263,2,0
2015-02-26 00:00:00+00:00,237.97,238.55,234.01,236.84,5492.008,-0.0047485232,-0.006595731,-0.0004172325,0.013319254,-0.03630662,-0.00028514862,-0.03492117,0.009117961,-0.005300260263666812,-0.014833248414536149,0.00688073783565879,0.007228008741105185,0.012245904580767686,0.018167985777608236,0.0232342364068309,0.03547314783205627,57.15911451640707,0.0024936081898404797,0.0027706928229847623,0.08188657981841159,0.019169096,-0.004748518,0.4412694,-0.5134225365829281,3,1
2015-02-27 00:00:00+00:00,236.84,256.15,236.16,252.78,22012.004,0.06730282,-0.0047485232,-0.006595731,-0.0004172325,0.013319254,-0.03630662,0.068837166,0.03302002,0.04732389307839635,0.04794912584801092,0.06908357407873655,0.07721809898592746,0.020776458117824692,0.030923059981838516,0.028780599220969094,0.038064766076611044,58.00202975990769,0.0067537828935443495,0.005610715922608521,0.7794510819950095,0.07908058,0.06730283,3.0080066,0.8490594354777365,4,1
2015-02-28 00:00:00+00:00,252.78,254.56,245.2,253.47,5626.6284,0.0027296543,0.06730282,-0.0047485232,-0.006595731,-0.0004172325,0.013319254,0.057667494,0.06782663,0.03829233372640917,0.043842463018814115,0.06533572699916546,0.08389994249084087,0.02604602999975758,0.031321899491202926,0.026292288877339587,0.03761440571623887,47.78058666108396,0.010327317544500348,0.0073498898074825,0.726582818466057,0.03692745,0.002729656,-0.74438363,-0.5106008813408653,5,1
